"kick.wav",0.510839002
,0.638548753
,0.696598639
,0.766258503
,0.824308390
,0.986848073
,1.068117914
,1.311927438
,1.857596372
,1.996916100
,6.582857143
,9.740770975
,10.170340136
,10.356099773
,10.588299320
,11.157188209
,13.943582766
,14.535691610
,16.671927438
,16.811247166
,17.890975057
,18.784943311
,19.249342404
,19.551201814
,19.713741497
,19.864671202
,19.957551020
,29.582222222
,29.686712018
,29.895691610
,30.151111111
,30.464580499
,30.615510204
,30.696780045
,31.068299320
,31.149569161
,31.358548753
,31.973877551
,32.043537415
,32.066757370
,32.426666667
,32.577596372
,32.891065760
,33.030385488
,33.123265306
,33.494784580
,33.576054422
,33.785034014
,34.098503401
,34.400362812
,34.516462585
,34.690612245
,34.876371882
,34.992471655
,35.305941043
,35.456870748
,35.549750567
,35.677460317
,35.921269841
,36.002539683
,36.199909297
,36.826848073
,36.908117914
,37.000997732
,37.128707483
,37.418956916
,37.732426304
,37.883356009
,37.976235828
,38.336145125
,38.510294785
,38.638004535
,38.788934240
,38.939863946
,39.090793651
,39.253333333
,39.334603175
,39.381043084
,39.543582766
,39.613242630
,39.706122449
,39.845442177
,40.158911565
,40.309841270
,40.472380952
,40.762630385
,40.832290249
,40.855510204
,40.925170068
,41.064489796
,41.679818594
,41.749478458
,42.271927438
,42.585396825
,42.736326531
,42.887256236
,42.968526077
,43.189115646
,43.479365079
,44.094693878
,44.698412698
,45.011882086
,45.162811791
,45.244081633
,45.302131519
,45.615600907
,45.696870748
,45.894240363
,46.521179138
,46.614058957
,46.672108844
,46.823038549
,47.124897959
,47.217777778
,47.426757370
,47.519637188
,47.740226757
,47.879546485
,48.042086168
,48.193015873
,48.343945578
,48.494875283
,48.645804989
,48.796734694
,48.947664399
,49.133424036
,49.493333333
,51.374149660
,51.966258503
,52.593197279
,52.825396825
,53.185306122
,53.800634921
,53.905124717
,54.392743764
,55.008072562
,55.472471655
,55.600181406
,56.227120181
,56.819229025
,57.434557823
,57.550657596
,58.026666667
,58.653605442
,59.245714286
,59.861043084
,59.977142857
,60.313832200
,60.441541950
,61.068480726
,61.672199546
,62.287528345
,62.484897959
,62.879637188
,63.494965986
,64.087074830
,64.714013605
,65.166802721
,65.306122449
,65.921451247
,66.095600907
,66.513560091
,67.140498866
,67.732607710
,68.022857143
,68.347936508
,68.533696145
,68.661405896
,68.777505669
,73.212517007
,73.270566893
,73.421496599
,73.549206349
,73.781405896
,74.106485261
,74.257414966
,75.000453515
,75.627392290
,75.743492063
,75.824761905
,75.871201814
,75.952471655
,76.207891156
,76.823219955
,77.426938776
,77.740408163
,77.879727891
,78.042267574
,78.634376417
,78.947845805
,79.110385488
,79.853424036
,80.050793651
,80.190113379
,80.341043084
,80.457142857
,80.619682540
,80.782222222
,81.060861678
,81.235011338
,81.374331066
,81.525260771
,81.618140590
,81.978049887
,82.268299320
,82.883628118
,83.475736961
,83.800816327
,83.951746032
,84.404535147
,84.497414966
,84.694784580
,85.310113379
,85.913832200
,86.087981859
,86.215691610
,86.366621315
,86.831020408
,87.109659864
,87.434739229
,87.736598639
,87.817868481
,88.328707483
,88.642176871
,88.793106576
,88.885986395
,89.245895692
,89.536145125
,90.163083900
,90.244353741
,90.755192744
,91.068662132
,91.219591837
,91.312471655
,91.672380952
,91.765260771
,91.974240363
,92.589569161
,92.670839002
,93.181678005
,93.495147392
,93.646077098
,93.727346939
,93.959546485
,94.098866213
,94.191746032
,94.261405896
,94.389115646
,94.540045351
,94.702585034
,94.841904762
,95.004444444
,95.097324263
,95.317913832
,95.457233560
,95.608163265
,95.782312925
,95.921632653
,96.072562358
,96.153832200
,96.374421769
,96.525351474
,96.606621315
,96.815600907
,96.978140590
,97.117460317
,97.268390023
,97.430929705
,97.535419501
,97.732789116
,97.872108844
,98.023038549
,98.185578231
,98.336507937
,98.487437642
,98.789297052
,98.951836735
,99.033106576
,99.242086168
,99.393015873
,99.543945578
,99.694875283
,99.857414966
,99.950294785
,100.054784580
,100.112834467
,100.205714286
,100.286984127
,100.612063492
,100.832653061
,101.064852608
,101.262222222
,101.366712018
,101.552471655
,101.656961451
,101.819501134
,102.040090703
,102.283900227
,102.388390023
,102.469659864
,102.713469388
,102.887619048
,103.026938776
,103.154648526
,103.340408163
,103.491337868
,103.665487528
,103.769977324
,103.909297052
,104.431746032
,104.547845805
,104.710385488
,104.791655329
,104.896145125
,105.116734694
,105.209614512
,105.279274376
,105.441814059
,105.615963719
,105.790113379
,105.917823129
,106.010702948
,106.126802721
,106.254512472
,106.614421769
,106.672471655
,106.823401361
,107.125260771
,107.241360544
,107.427120181
,107.578049887
,107.728979592
,107.914739229
,108.030839002
,108.170158730
,108.332698413
,108.495238095
,108.646167800
,108.797097506
,108.948027211
,109.098956916
,109.249886621
,109.400816327
,109.551746032
,109.702675737
,109.853605442
,110.004535147
,110.155464853
,110.306394558
,110.468934240
,110.608253968
,111.989841270
,112.222040816
,112.570340136
,113.197278912
,113.406258503
,113.789387755
,114.404716553
,114.996825397
,115.623764172
,115.844353741
,116.076553288
,116.215873016
,116.831201814
,117.423310658
,118.050249433
,118.630748299
,119.257687075
,119.849795918
,120.465124717
,120.917913832
,121.057233560
,121.359092971
,121.521632653
,121.684172336
,121.893151927
,121.997641723
,122.102131519
,122.264671202
,122.891609977
,123.483718821
,124.099047619
,124.331247166
,124.702766440
,125.318095238
,125.503854875
,125.770884354
,125.921814059
,126.525532880
,127.129251701
,127.744580499
,128.336689342
,128.952018141
,129.044897959
,129.137777778
,131.378503401
,131.529433107
,131.680362812
,131.982222222
,132.051882086
,133.189659864
,133.804988662
,133.955918367
,134.397097506
,135.314285714
,135.616145125
,135.778684807
,136.231473923
,136.533333333
,136.823582766
,138.042630385
,138.193560091
,138.657959184
,139.250068027
,140.167256236
,140.260136054
,140.457505669
,140.620045351
,141.084444444
,141.223764172
,141.664943311
,142.883990930
,143.499319728
,143.650249433
,143.743129252
,144.091428571
,145.020226757
,145.310476190
,145.473015873
,145.925804989
,146.123174603
,146.517913832
,147.736961451
,148.352290249
,148.561269841
,148.944399093
,149.257868481
,149.350748299
,149.548117914
,149.699047619
,149.861587302
,150.128616780
,150.314376417
,150.500136054
,150.616235828
,150.732335601
,150.801995465
,150.941315193
,151.266394558
,159.242448980
,159.706848073
,160.473106576
,160.565986395
,160.670476190
,160.925895692
,161.065215420
,161.378684807
,161.518004535
,161.668934240
,161.843083900
,161.982403628
,162.121723356
,162.295873016
,162.586122449
,162.737052154
,162.887981859
,163.027301587
,163.340770975
,163.491700680
,163.665850340
,163.793560091
,164.257959184
,164.397278912
,164.548208617
,164.710748299
,164.861678005
,165.012607710
,165.175147392
,165.326077098
,165.407346939
,165.523446712
,165.604716553
,165.732426304
,165.918185941
,166.092335601
,166.220045351
,166.382585034
,166.533514739
,166.696054422
,166.835374150
,166.974693878
,167.137233560
,167.288163265
,167.427482993
,167.590022676
,167.752562358
,167.891882086
,168.042811791
,168.193741497
,168.333061224
,168.495600907
,168.658140590
,168.820680272
,168.960000000
,169.099319728
,169.250249433
,169.401179138
,169.563718821
,169.726258503
,169.888798186
,169.993287982
,170.167437642
,170.376417234
,170.527346939
,170.573786848
,170.724716553
,171.154285714
,171.374875283
,171.978594104
,172.593922902
,172.826122449
,173.186031746
,173.801360544
,174.405079365
,175.020408163
,175.217777778
,175.473197279
,175.600907029
,176.227845805
,176.819954649
,177.435283447
,178.039002268
,178.654331066
,179.083900227
,179.246439909
,179.861768707
,180.314557823
,180.430657596
,180.778956916
,181.080816327
,181.254965986
,181.672925170
,182.288253968
,182.474013605
,182.880362812
,183.495691610
,183.669841270
,184.099410431
,184.714739229
,184.888888889
,185.167528345
,185.318458050
,185.608707483
,185.922176871
,186.026666667
,186.514285714
,187.141224490
,187.733333333
,188.035192744
,188.348662132
,188.522811791
,188.627301587
,188.847891156
,189.509659864
,190.775147392
,190.926077098
,191.018956916
,191.378866213
,192.586303855
,192.737233560
,192.876553288
,193.039092971
,193.201632653
,193.352562358
,193.445442177
,193.793741497
,194.095600907
,194.710929705
,195.001179138
,195.163718821
,195.628117914
,196.220226757
,197.439274376
,198.042993197
,198.159092971
,198.646712018
,199.563900227
,199.854149660
,200.016689342
,200.109569161
,200.190839002
,200.469478458
,200.620408163
,200.724897959
,200.945487528
,201.073197279
,202.280634921
,202.895963719
,203.046893424
,203.209433107
,203.499682540
,204.405260771
,204.707120181
,204.869659864
,205.043809524
,205.322448980
,205.496598639
,205.914557823
,207.133605442
,207.423854875
,207.737324263
,208.341043084
,208.654512472
,208.840272109
,208.944761905
,209.095691610
,209.258231293
,209.432380952
,209.548480726
,209.711020408
,209.896780045
,210.163809524
,210.256689342
,210.396009070
,210.651428571
,210.767528345
,210.872018141
,211.022947846
,211.394467120
,211.649886621
,211.974965986
,212.276825397
