time_s,cluster,label,conf
0.470000,0,snare,2.7454
10.160000,0,snare,8.9713
11.067500,2,kick,1.9158
12.580000,2,kick,5.3603
13.492857,2,kick,2.6648
13.949286,2,kick,5.4031
14.405714,1,hats,2.1675
14.557857,2,kick,2.5949
14.710000,2,kick,2.1260
15.012857,2,kick,1.7961
15.467143,2,kick,3.8636
16.375714,2,kick,1.9918
16.830000,2,kick,7.9055
17.440000,2,kick,6.2119
17.900000,2,kick,6.2018
18.360000,0,snare,5.0571
18.802500,2,kick,6.5418
18.950000,0,snare,4.6849
19.260000,2,kick,7.2164
19.410000,0,snare,2.9615
19.560000,0,snare,3.1647
19.715000,0,snare,4.0581
29.550000,2,kick,2.7071
30.160000,0,snare,8.4175
30.460000,2,kick,6.6754
30.612500,2,kick,6.7119
30.917500,2,kick,2.5880
31.070000,2,kick,9.0935
31.370000,0,snare,12.1465
31.980000,2,kick,10.9341
32.430000,2,kick,10.4585
32.580000,1,hats,14.4414
32.890000,2,kick,8.5064
33.040000,2,kick,10.8432
33.190000,2,kick,6.5557
33.340000,2,kick,4.0091
33.490000,2,kick,9.5977
33.645000,2,kick,3.4231
33.800000,0,snare,11.2001
34.100000,0,snare,6.6488
34.250000,2,kick,2.8370
34.400000,2,kick,4.9593
34.710000,2,kick,2.6116
34.860000,2,kick,2.9288
35.010000,0,snare,12.5632
35.310000,2,kick,8.7286
35.460000,2,kick,3.0617
35.910000,2,kick,12.2141
36.220000,0,snare,13.1515
36.670000,0,snare,4.2323
36.820000,2,kick,10.6598
37.277500,0,snare,6.4019
37.430000,0,snare,12.3278
37.730000,2,kick,11.8812
37.882500,2,kick,10.2865
38.035000,2,kick,4.2637
38.340000,2,kick,9.4608
38.640000,0,snare,12.8312
38.792500,0,snare,6.7114
38.945000,2,kick,3.0482
39.097500,0,snare,7.4239
39.250000,2,kick,5.7457
39.860000,0,snare,9.0537
40.160000,2,kick,6.2106
40.310000,2,kick,6.0797
40.760000,2,kick,6.9047
41.070000,0,snare,9.0544
41.670000,2,kick,11.7761
42.280000,0,snare,10.7646
42.580000,2,kick,7.2468
42.735000,2,kick,5.3056
42.890000,0,snare,6.1572
43.190000,2,kick,10.7071
43.340000,2,kick,2.8586
43.490000,0,snare,7.3083
43.947500,2,kick,2.8104
44.100000,2,kick,9.5621
44.557500,1,hats,5.5314
44.710000,0,snare,11.0775
45.010000,2,kick,8.4404
45.160000,2,kick,8.3912
45.385000,2,kick,2.8111
45.610000,2,kick,10.4607
45.920000,0,snare,10.4276
46.520000,0,snare,7.3988
46.820000,0,snare,3.7070
47.130000,0,snare,5.5895
47.430000,2,kick,2.8639
47.730000,0,snare,2.9389
48.040000,2,kick,3.0403
48.340000,0,snare,4.2287
48.790000,0,snare,3.2047
51.370000,0,snare,10.0306
51.980000,0,snare,5.1499
52.580000,0,snare,3.9869
53.190000,0,snare,8.0807
53.790000,1,hats,9.1137
54.400000,0,snare,8.5796
55.010000,0,snare,5.7752
55.460000,1,hats,6.4122
55.610000,0,snare,11.4277
56.220000,0,snare,10.3100
56.520000,0,snare,2.7048
56.820000,0,snare,10.6521
57.277500,1,hats,3.5227
57.430000,0,snare,9.2267
57.735000,0,snare,1.8795
58.040000,0,snare,10.8031
58.640000,0,snare,7.3466
59.250000,0,snare,7.9747
59.850000,1,hats,6.8632
60.307500,1,hats,8.5676
60.460000,0,snare,8.8295
61.070000,0,snare,10.8656
61.670000,1,hats,6.4506
62.280000,1,hats,10.0510
62.890000,0,snare,10.7337
63.490000,1,hats,9.7282
64.100000,0,snare,11.7734
64.700000,0,snare,6.5306
65.005000,0,snare,2.4371
65.157500,1,hats,6.7496
65.310000,0,snare,8.0490
65.910000,1,hats,9.2046
66.520000,0,snare,9.9803
67.130000,1,hats,9.1887
67.730000,0,snare,11.3546
68.030000,1,hats,5.9757
68.340000,0,snare,7.0226
68.946250,2,kick,2.8436
73.190000,1,hats,15.8282
73.800000,0,snare,8.7331
74.100000,1,hats,6.0565
74.251667,0,snare,4.5039
75.010000,0,snare,8.8129
75.610000,1,hats,9.0644
76.220000,0,snare,7.8324
77.430000,0,snare,6.8804
77.730000,1,hats,5.2361
77.885000,0,snare,6.6889
78.040000,0,snare,7.4463
78.640000,1,hats,8.9100
78.950000,1,hats,5.7834
79.101667,0,snare,7.8166
79.860000,1,hats,8.1719
80.160000,0,snare,4.4233
80.310000,0,snare,5.3227
80.460000,2,kick,2.7120
80.612500,2,kick,2.8334
80.765000,2,kick,1.8270
81.070000,0,snare,10.2781
81.370000,2,kick,5.3710
81.522500,2,kick,6.5905
81.980000,2,kick,7.8012
82.280000,1,hats,12.8945
82.580000,2,kick,2.5600
82.805000,2,kick,2.4736
82.880000,0,snare,9.6839
83.337500,0,snare,3.1183
83.490000,1,hats,12.3429
83.790000,2,kick,11.4262
83.942500,2,kick,8.3253
84.400000,2,kick,9.3373
84.710000,0,snare,10.7445
85.010000,0,snare,4.8397
85.160000,2,kick,3.3373
85.310000,2,kick,11.9072
85.615000,0,snare,2.2439
85.920000,0,snare,12.4916
86.220000,2,kick,9.9261
86.370000,2,kick,10.1410
86.820000,2,kick,11.4083
87.052500,0,snare,6.3531
87.130000,0,snare,15.6106
87.430000,0,snare,3.3042
87.580000,0,snare,4.4486
87.730000,2,kick,9.4012
87.885000,2,kick,3.8481
88.040000,1,hats,4.2321
88.340000,0,snare,15.5245
88.490000,2,kick,4.6956
88.640000,2,kick,12.1807
88.792500,2,kick,5.5216
88.945000,2,kick,5.1333
89.250000,2,kick,8.9707
89.560000,0,snare,10.0791
89.860000,0,snare,2.2554
90.010000,2,kick,6.6912
90.160000,2,kick,8.0636
90.312500,2,kick,2.2265
90.617500,2,kick,5.6473
90.770000,1,hats,10.6450
91.070000,2,kick,9.7126
91.220000,2,kick,5.9293
91.370000,2,kick,4.8504
91.670000,2,kick,7.2705
91.902500,2,kick,4.2601
91.980000,0,snare,10.2176
92.130000,0,snare,3.4356
92.280000,2,kick,3.2843
92.505000,0,snare,2.7942
92.580000,2,kick,7.5148
92.732500,2,kick,2.2701
93.037500,2,kick,7.7323
93.190000,0,snare,12.1623
93.490000,2,kick,6.9633
93.642500,2,kick,5.8477
93.795000,2,kick,3.4762
93.947500,2,kick,2.8133
94.100000,2,kick,8.7058
94.255000,2,kick,3.0865
94.410000,0,snare,6.4928
94.700000,2,kick,6.8251
94.855000,2,kick,6.0174
95.010000,2,kick,6.2991
95.620000,0,snare,8.8305
95.920000,2,kick,5.8273
96.070000,2,kick,6.3482
96.220000,2,kick,3.8280
96.520000,2,kick,5.7294
96.675000,2,kick,2.6887
96.830000,0,snare,10.6973
96.980000,2,kick,2.4858
97.130000,2,kick,2.3833
97.280000,2,kick,3.8953
97.430000,2,kick,9.4411
97.740000,2,kick,3.4503
98.040000,0,snare,10.6444
98.190000,2,kick,2.8274
98.340000,2,kick,7.8039
98.492500,2,kick,8.6170
98.645000,2,kick,2.5074
98.797500,2,kick,2.6089
98.950000,2,kick,5.0403
99.250000,0,snare,7.5812
99.405000,0,snare,8.4088
99.560000,1,hats,8.4802
99.710000,0,snare,7.7618
100.994375,2,kick,2.1985
101.070000,2,kick,9.7268
101.221250,2,kick,2.3127
101.372500,2,kick,2.1873
102.280000,2,kick,5.4021
102.580000,2,kick,2.2498
103.490000,2,kick,9.2891
103.640000,2,kick,3.6662
103.790000,2,kick,4.2543
104.410000,0,snare,5.4284
104.700000,2,kick,8.4067
105.920000,2,kick,5.7393
106.220000,2,kick,2.1476
106.520000,0,snare,4.6843
106.840000,2,kick,4.8703
107.130000,2,kick,9.2205
107.430000,2,kick,4.6032
107.730000,2,kick,3.9165
108.040000,2,kick,5.3211
108.340000,2,kick,5.5996
108.490000,2,kick,2.6049
108.640000,2,kick,4.3348
108.950000,2,kick,3.9842
109.250000,2,kick,2.6586
109.400000,2,kick,1.9773
109.860000,2,kick,2.4577
110.010000,2,kick,2.0919
110.160000,2,kick,3.3863
111.980000,0,snare,11.7183
112.580000,0,snare,6.0477
113.190000,0,snare,6.3662
113.800000,0,snare,6.6866
114.400000,1,hats,8.0537
115.010000,1,hats,6.8984
115.610000,1,hats,7.7958
116.067500,1,hats,8.8179
116.220000,0,snare,8.4472
116.820000,1,hats,11.1839
117.430000,0,snare,6.1298
117.750000,1,hats,2.4403
118.040000,0,snare,11.2237
118.640000,0,snare,10.4348
119.250000,1,hats,8.7229
119.850000,1,hats,9.5720
120.460000,1,hats,10.0594
120.917500,0,snare,12.0501
121.070000,0,snare,11.5157
121.680000,0,snare,5.1639
122.280000,1,hats,7.5038
122.880000,0,snare,9.4794
123.490000,1,hats,8.6434
124.100000,0,snare,11.3531
124.700000,1,hats,12.2277
125.310000,0,snare,9.8449
125.767500,0,snare,8.7469
125.920000,0,snare,9.5525
126.520000,1,hats,9.7219
126.825000,1,hats,1.8353
127.130000,1,hats,11.0145
127.730000,1,hats,11.3173
128.340000,0,snare,11.5938
128.950000,2,kick,8.0842
131.370000,0,snare,12.7711
131.522500,0,snare,9.0456
131.980000,1,hats,12.1186
133.190000,1,hats,12.7542
133.790000,1,hats,7.4312
133.942500,0,snare,4.2222
134.400000,1,hats,10.5689
135.310000,0,snare,11.3756
135.610000,1,hats,8.6861
135.762500,1,hats,2.4753
136.220000,0,snare,6.6733
136.830000,1,hats,8.2441
138.040000,0,snare,9.1262
138.490000,1,hats,2.4967
138.640000,0,snare,8.3567
139.250000,1,hats,11.6531
139.856667,1,hats,1.6810
140.160000,0,snare,10.7230
140.460000,1,hats,6.6183
140.612500,0,snare,3.3441
141.070000,0,snare,5.7903
141.220000,0,snare,2.8544
141.670000,1,hats,5.7548
142.890000,1,hats,8.0106
143.490000,1,hats,9.7208
143.642500,0,snare,4.4443
144.100000,1,hats,7.1574
145.010000,0,snare,7.6419
145.310000,1,hats,7.8235
145.462500,0,snare,2.8424
145.920000,1,hats,8.0034
146.220000,1,hats,1.9091
146.520000,1,hats,8.4891
147.130000,1,hats,2.5265
147.730000,1,hats,8.5093
148.340000,0,snare,6.3908
148.950000,1,hats,6.6251
149.250000,1,hats,5.0224
149.560000,0,snare,6.2195
149.860000,0,snare,5.2568
150.160000,1,hats,6.9348
150.307500,1,hats,2.8123
150.602500,0,snare,3.7823
151.360000,1,hats,1.9084
158.648000,1,hats,3.3863
160.460000,0,snare,13.7356
160.917500,2,kick,3.2982
161.070000,0,snare,6.0232
161.380000,2,kick,7.4442
161.680000,2,kick,3.3581
161.830000,2,kick,6.6467
161.980000,2,kick,2.3036
162.290000,0,snare,7.1988
162.740000,2,kick,5.4012
162.890000,2,kick,7.8662
163.347500,2,kick,5.6371
163.500000,1,hats,5.2591
163.800000,2,kick,6.5359
164.100000,2,kick,4.0662
164.255000,2,kick,7.1725
164.410000,2,kick,2.7533
164.710000,0,snare,6.4146
164.865000,2,kick,2.8620
165.020000,2,kick,3.4618
165.165000,2,kick,2.9675
165.310000,0,snare,10.0374
165.767500,2,kick,6.1027
165.920000,0,snare,4.9492
166.230000,2,kick,7.0313
166.380000,2,kick,2.5717
166.530000,2,kick,2.5791
166.685000,2,kick,5.8961
166.840000,2,kick,2.6191
167.130000,0,snare,5.9101
167.440000,2,kick,4.0499
167.590000,2,kick,4.8932
167.740000,0,snare,8.0584
168.040000,2,kick,3.5514
168.195000,2,kick,8.3817
168.350000,0,snare,5.5284
168.500000,2,kick,5.2352
168.650000,0,snare,7.7780
168.805000,2,kick,3.7390
168.960000,2,kick,4.3863
169.105000,0,snare,9.8321
169.250000,0,snare,6.5886
169.560000,0,snare,6.7569
169.710000,0,snare,4.2871
169.860000,0,snare,4.0314
170.015000,0,snare,3.9252
170.750000,0,snare,7.2335
171.370000,0,snare,9.2379
171.980000,0,snare,5.7312
172.580000,1,hats,5.4198
173.190000,0,snare,6.3530
173.800000,1,hats,6.2215
174.400000,1,hats,7.0076
175.010000,1,hats,7.6120
175.465000,1,hats,8.7216
175.610000,1,hats,7.3491
176.220000,1,hats,10.3432
176.530000,1,hats,3.0995
176.830000,0,snare,8.8177
177.430000,0,snare,10.4860
178.040000,0,snare,9.7696
178.640000,1,hats,7.3007
179.097500,1,hats,2.7056
179.250000,1,hats,7.8489
179.860000,0,snare,8.8139
180.310000,1,hats,9.9446
180.460000,0,snare,7.1577
180.770000,1,hats,5.7095
181.070000,1,hats,5.1893
181.680000,1,hats,2.7444
182.280000,0,snare,4.8882
182.890000,1,hats,5.2685
183.490000,1,hats,7.9859
184.100000,1,hats,7.7456
184.710000,0,snare,7.1462
185.160000,1,hats,7.6034
185.310000,1,hats,7.2445
185.620000,1,hats,3.1493
185.920000,0,snare,7.4843
186.520000,1,hats,9.9246
187.130000,1,hats,9.2252
187.435000,1,hats,2.6178
187.740000,0,snare,11.4066
188.040000,1,hats,4.0068
188.340000,1,hats,9.8888
189.555000,1,hats,6.8230
190.770000,0,snare,8.5310
190.920000,0,snare,3.0082
191.370000,1,hats,5.9694
192.590000,1,hats,11.6483
192.890000,0,snare,2.8172
193.040000,0,snare,2.9283
193.190000,0,snare,9.4594
193.342500,0,snare,3.9660
193.800000,1,hats,7.7940
194.410000,1,hats,2.1877
194.710000,0,snare,11.4190
195.010000,1,hats,9.3271
195.165000,0,snare,3.1173
195.620000,0,snare,7.5520
195.770000,0,snare,2.1645
195.920000,1,hats,2.1592
196.220000,1,hats,9.2123
196.830000,1,hats,2.0158
197.430000,1,hats,12.6177
198.040000,0,snare,9.8688
198.650000,1,hats,11.1748
199.260000,1,hats,3.1502
199.550000,0,snare,11.0620
199.860000,1,hats,7.7344
200.010000,0,snare,3.2714
200.310000,0,snare,2.7367
200.460000,1,hats,8.6084
200.612500,0,snare,2.4028
201.070000,1,hats,5.0523
201.680000,1,hats,2.2333
202.280000,1,hats,7.6245
202.890000,0,snare,9.1220
203.040000,0,snare,4.0897
203.490000,1,hats,5.7595
204.400000,1,hats,7.1904
204.710000,1,hats,8.3928
204.860000,0,snare,2.9704
205.310000,0,snare,9.3636
205.845000,1,hats,2.3411
205.920000,1,hats,8.4552
206.530000,1,hats,2.2583
207.130000,1,hats,7.4604
207.430000,1,hats,2.7502
207.740000,1,hats,7.7217
208.050000,1,hats,2.1123
208.340000,1,hats,6.4356
208.650000,1,hats,4.1267
208.950000,1,hats,3.9265
209.100000,1,hats,2.7384
209.250000,0,snare,4.7267
209.550000,1,hats,5.6185
209.702500,0,snare,3.6588
